NUMERO;NOME;BRINCOELETRONICO;SEXO;DTNASCIMENTO;CDCATEGORIAINICIAL;ORIGEM;NOME_1;RACA1;PERCENTUAL1;
A345;Maria;;F;22/01/1999;5;nascido;Vaca;Holandês;100;
A346;Miúcha;;F;01/02/1999;5;nascido;Vaca;Holandês;100;
A437;Oca;;F;25/04/2001;5;nascido;Vaca;Holandês;100;
A435;Olímpia;;F;20/04/2001;5;nascido;Vaca;Holandês;100;
A433;Otávia;;F;17/04/2001;5;nascido;Vaca;Holandês;100;
A459;Otawa;;F;02/08/2001;5;nascido;Vaca;Holandês;100;
A474;Palestina;;F;24/02/2002;5;nascido;Novilha;Holandês;100;
A475;Pália;;F;25/02/2002;5;nascido;Vaca;Holandês;100;
A476;Palmeira;;F;27/02/2002;5;nascido;Vaca;Holandês;100;
A478;Palmira;;F;04/03/2002;5;nascido;Vaca;Holandês;100;
A483;Panambi;;F;19/03/2002;5;nascido;Novilha;Holandês;100;
1;Pia;;F;15/06/2002;5;nascido;Vaca;Holandês;100;
3;Pilar;;F;18/06/2002;5;nascido;Vaca;Holandês;100;
4;Pirajá;;F;18/06/2002;5;nascido;Vaca;Holandês;100;
20;Poti;;F;24/09/2002;5;nascido;Vaca;Holandês;100;
13;Prisca;;F;29/07/2002;5;nascido;Novilha;Holandês;100;
17;Pureza;;F;17/08/2002;5;nascido;Novilha;Holandês;100;
29;Rafa;;F;22/01/2003;5;nascido;Vaca;Holandês;100;
32;Rajada;;F;10/02/2003;5;nascido;Vaca;Holandês;100;
425;Sabor;;M;15/02/2023;1;nascido;Em crescimento;Holandês;100;
34;Rapina;;F;24/02/2003;5;nascido;Vaca;Holandês;100;
39;Ravina;;F;10/04/2003;5;nascido;Novilha;Holandês;100;
42;Rega;;F;15/04/2003;5;nascido;Vaca;Holandês;100;
45;Rema;;F;06/05/2003;5;nascido;Vaca;Holandês;100;
48;Rena;;F;22/05/2003;5;nascido;Vaca;Holandês;100;
53;Represa;;F;16/06/2003;5;nascido;Vaca;Holandês;100;
54;Réstia;;F;02/07/2003;5;nascido;Vaca;Holandês;100;
56;Retina;;F;03/07/2003;5;nascido;Vaca;Holandês;100;
61;Reza;;F;14/07/2003;5;nascido;Vaca;Holandês;100;
62;Riba;;F;20/07/2003;5;nascido;Vaca;Holandês;100;
63;Ribeira;;F;21/07/2003;5;nascido;Vaca;Holandês;100;
64;Rica;;F;21/07/2003;5;nascido;Novilha;Holandês;100;
66;Ricota;;F;05/08/2003;5;nascido;Vaca;Holandês;100;
67;Rifa;;F;12/08/2003;5;nascido;Vaca;Holandês;100;
69;Ripa;;F;17/08/2003;5;nascido;Novilha;Holandês;100;
72;Roca;;F;24/08/2003;5;nascido;Vaca;Holandês;100;
75;Ródia;;F;01/09/2003;5;nascido;Novilha;Holandês;100;
82;Ronda;;F;08/10/2003;5;nascido;Vaca;Holandês;100;
